Session #,SNI,TLS Version,TLS Level,Cipher Suite,Vulnerable Field,Vulnerability Level,Issuer,Expiry Date,Public Key Algorithm, MigratiTn Required, Total
174,cdn.adsafeprotected.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M02,2026-04-18,RSA,F,TLS_H_CS_M
175,client.aps.amazon-adsystem.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M03,2025-12-20,RSA,F,TLS_H_CS_M
176,config.aps.amazon-adsystem.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M02,2026-01-21,RSA,F,TLS_H_CS_M
177,vi.ml314.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WR3,2025-09-16,RSA,T,TLS_H_CS_M
178,fuse.forbes.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,R11,2025-10-17,RSA,T,TLS_H_CS_M
179,static.criteo.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2025-09-04,ECDSA,T,TLS_H_CS_M
180,cdn.p-n.io,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M02,2025-12-12,RSA,F,TLS_H_CS_M
181,hbxlp.media.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo RSA Domain Validation Secure Server CA,2026-04-30,RSA,F,TLS_H_CS_M
182,securepubads.g.doubleclick.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
183,cdn.ketchjs.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Certainly Intermediate R1,2025-08-18,RSA,T,TLS_H_CS_M
184,rcp.rtpge.com,1.3,H,AES_256_GCM_SHA384,None,H,E6,2025-09-23,ECDSA,T,TLS_H_CS_H
185,storage.googleapis.com,1.3,H,AES_256_GCM_SHA384,None,H,WR2,2025-09-29,ECDSA,T,TLS_H_CS_H
186,c.amazon-adsystem.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M03,2025-12-18,RSA,F,TLS_H_CS_M
187,aax.amazon-adsystem.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M03,2026-04-29,RSA,F,TLS_H_CS_M
188,d.email.forbes.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,E6,2025-10-13,ECDSA,T,TLS_H_CS_M
189,s.amazon-adsystem.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M01,2026-06-18,RSA,F,TLS_H_CS_M
190,se.email.forbes.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,E6,2025-10-27,ECDSA,T,TLS_H_CS_M
191,pixel.adsafeprotected.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M02,2026-02-28,RSA,F,TLS_H_CS_M
192,ads.pubmatic.com,1.2,M,ECDHE_RSA_WITH_AES_256_GCM_SHA384,RSA+ECDHE,L,DigiCert TLS RSA SHA256 2020 CA1,2025-11-30,RSA,F,TLS_M_CS_L
194,promote-subscribe.forbes.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,GlobalSign Atlas R3 DV TLS CA 2025 Q1,2026-02-17,RSA,F,TLS_M_CS_L
195,oa.openxcdn.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,WR3,2025-10-08,RSA,T,TLS_H_CS_M
196,prebid-s2s.media.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo RSA Domain Validation Secure Server CA,2026-04-30,RSA,F,TLS_H_CS_M
197,cdn.doubleverify.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS RSA SHA256 2020 CA1,2026-01-14,ECDSA,F,TLS_H_CS_H
198,invstatic101.creativecdn.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WR3,2025-09-09,RSA,T,TLS_H_CS_M
199,oajs.openx.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,RapidSSL TLS RSA CA G1,2025-08-18,RSA,T,TLS_H_CS_M
200,tpc.googlesyndication.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
202,open-api.spot.im,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M03,2026-04-08,RSA,F,TLS_H_CS_M
203,static.adsafeprotected.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M04,2026-04-25,RSA,F,TLS_H_CS_M
204,blizzard.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Amazon RSA 2048 M04,2026-06-06,RSA,F,TLS_M_CS_L
205,image6.pubmatic.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-03-22,RSA,F,TLS_H_CS_M
206,esp.rtbhouse.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WR3,2025-09-10,RSA,T,TLS_H_CS_M
207,google-bidout-d.openx.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,RapidSSL TLS RSA CA G1,2025-08-18,RSA,T,TLS_H_CS_M
208,ml314.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WR3,2025-09-06,RSA,T,TLS_H_CS_M
209,ads.as.criteo.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2025-09-16,ECDSA,T,TLS_H_CS_M
210,eus.rubiconproject.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS RSA SHA256 2020 CA1,2026-04-03,ECDSA,F,TLS_H_CS_H
211,secure.quantserve.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,R10,2025-09-17,RSA,T,TLS_M_CS_L
212,js-sec.indexww.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE1,2025-10-22,ECDSA,T,TLS_H_CS_M
